Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C3554540	lymphoproliferative syndrome 2	1	1	1
C3151295	hypomagnesemia 6, renal	1	1	1
C3151293	cardiomyopathy, dilated, 1hh	1	1	1
C4024297	abnormality of the hairline	1	1	1
C1970107	ataxia, spastic, 1, autosomal dominant	1	1	1
C1854416	macrocephaly/autism syndrome	1	1	1
C0340544	pulmonary arterial hypertension induced by drug	1	1	1
C4274761	autosomal dominant spondylocostal dysostosis	1	1	1
C0340548	pulmonary capillary hemangiomatosis	1	1	1
C0024441	macular holes	1	1	1
C3809918	multiple fibroadenomas of the breast	1	1	1
C1843013	alzheimer disease, familial, type 3	1	1	1
C3809910	arthrogryposis, mental retardation, and seizures	1	1	1
C1842763	spondyloenchondrodysplasia with immune dysregulation	1	1	1
C3808397	cortical dysplasia, complex, with other brain malformations 1	1	1	1
C4014970	adams-oliver syndrome 5	1	1	1
C0751587	cadasil syndrome	1	1	1
C1864723	pyridoxamine 5-prime-phosphate oxidase deficiency	1	1	1
C4025162	multiple digital exostoses	1	1	1
C0272080	hemoglobin d disease	1	1	1
C0272084	hemoglobin sd disease	1	1	1
C0272085	sickle cell-hemoglobin e disease	1	1	1
C1853508	atrioventricular septal defect, susceptibility to, 2	1	1	1
C1868570	char syndrome	1	1	1
C2751843	leukoencephalopathy, cystic, without megalencephaly	1	1	1
C1833541	caroli disease isolated	1	1	1
C0740277	bile duct carcinoma	1	1	1
C0398641	epstein syndrome (disorder)	1	1	1
C3888271	neuronopathy, distal hereditary motor, type iid	1	1	1
C0393929	familial infantile myasthenia	1	1	1
C1836727	peripheral demyelinating neuropathy, central dysmyelination, waardenburg syndrome, and hirschsprung disease	1	1	1
C3492944	lentiginosis profusa	1	1	1
C0265216	x-linked hydrocephalus syndrome	1	1	1
C1858673	generalized epilepsy with febrile seizures plus, type 2	1	1	1
C1858674	generalized epilepsy with febrile seizures plus, type 3	1	1	1
C3280284	mental retardation, autosomal dominant 10	1	1	1
C3280285	mental retardation, autosomal dominant 11	1	1	1
C3280282	mental retardation, autosomal dominant 8	1	1	1
C3280283	mental retardation, autosomal dominant 9	1	1	1
C1393669	congenital onychodystrophy	1	1	1
C4025053	broad long bone diaphyses	1	1	1
C1863236	scid due to ada deficiency, early-onset	1	1	1
C1864861	tumoral calcinosis, normophosphatemic, familial	1	1	1
C3281203	cutaneous telangiectasia and cancer syndrome, familial	1	1	1
C1855346	mast syndrome	1	1	1
C1840452	hyaloideoretinal degeneration of wagner	1	1	1
C1840451	multicystic renal dysplasia, bilateral	1	1	1
C1848934	spondylocarpotarsal synostosis syndrome	1	1	1
C0343115	skin mastocytoma	1	1	1
C1834015	ptosis, progressive	1	1	1
C3151351	deafness, autosomal recessive 89	1	1	1
C1843225	charcot-marie-tooth disease, axonal, type 2e (disorder)	1	1	1
C4015619	epilepsy, progressive myoclonic, 8	1	1	1
C4015349	charcot-marie-tooth disease, axonal, type 2s	1	1	1
C0393778	congenital anosmia	1	1	1
C1843228	hypotrophy of the small hand muscles	1	1	1
C2751643	glycogen storage disease ixc	1	1	1
C0423320	iridodonesis	1	1	1
C1857618	achromatopsia 2	1	1	3
C3463897	hydatidiform mole, recurrent, 1	1	1	1
C3810332	auriculocondylar syndrome 3	1	1	1
C2677092	myd88 deficiency	1	1	1
C1843486	degenerative vitreoretinopathy	1	1	2
C4225189	microcephaly, congenital cataract, and psoriasiform dermatitis	1	1	1
C4225188	meier-gorlin syndrome 6	1	1	1
C4225187	exercise intolerance, riboflavin-responsive	1	1	1
C4225183	brachydactyly, type a1, d	1	1	1
C4225181	myopathy, scapulohumeroperoneal	1	1	1
C4225180	even-plus syndrome	1	1	1
C0521802	congenital atransferrinemia	1	1	1
C4014563	hypotrichosis 12	1	1	1
C1832942	juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome (disorder)	1	1	1
C4024176	triangular shaped distal phalanges of the hand	1	1	1
C4024174	broad distal phalanges of all fingers	1	1	2
C1969562	mental retardation, autosomal dominant 1	1	1	1
C1970712	multiple endocrine neoplasia, type iv	1	1	1
C0152264	familial erythrocytosis	1	1	1
C0005742	blepharochalasis	1	1	1
C3151519	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 3	1	1	1
C1744559	congenital ectodermal dysplasia of face	1	1	1
C0410207	tubular aggregate myopathy	1	1	2
C0410203	x-linked centronuclear myopathy	1	1	1
C3808876	corneal intraepithelial dyskeratosis and ectodermal dysplasia	1	1	1
C3808874	advanced sleep phase syndrome, familial, 2	1	1	1
C0022387	jervell-lange nielsen syndrome	1	1	1
C3715156	amyotrophic lateral sclerosis 20	1	1	1
C3715155	amyotrophic lateral sclerosis 19	1	1	1
C0520739	hereditary pyropoikilocytosis	1	1	1
C1861732	spinocerebellar ataxia 29	1	1	1
C2931426	orofaciodigital syndrome type1	1	1	1
C2675730	deafness, congenital, and onychodystrophy, autosomal dominant	1	1	1
C0342765	d-glyceric aciduria	1	1	1
C0265878	preductal coarctation of aorta	1	1	1
C2931686	charcot-marie-tooth disease, type 1e	1	1	1
C1862066	branchial anomalies	1	1	1
C2931689	dystrophia myotonica 2	1	1	1
C1847667	cardiomyopathy, dilated, 1l	1	1	1
C0271386	vertical nystagmus	1	1	1
C0220710	medium-chain acyl-coenzyme a dehydrogenase deficiency	1	1	1
C1851120	hypertrichosis terminalis, generalized, with or without gingival hyperplasia	1	1	1
C4015283	mental retardation, autosomal recessive 46	1	1	1
C4015286	macular degeneration, early-onset	1	1	1
C2677774	age-related macular degeneration type 11	1	1	1
C0268164	primary hyperoxaluria, type i	1	1	1
C0268165	primary hyperoxaluria type 2	1	1	1
C0268162	pentosuria	1	1	1
C1720860	familial partial lipodystrophy, type 2	1	1	1
C1720862	congenital generalized lipodystrophy type 1	1	1	1
C1720864	sulfatidosis, juvenile, austin type	1	1	1
C4084840	fanconi anemia, complementation group t	1	1	1
C0265696	sternum bifidum	1	1	1
C0795934	digitorenocerebral syndrome	1	1	1
C4024769	reticular pigmentary degeneration	1	1	1
C4014488	pontocerebellar hypoplasia, type 2e	1	1	1
C3810294	spastic paraplegia 61, autosomal recessive	1	1	1
C3810295	spastic paraplegia 63, autosomal recessive	1	1	1
C1834481	cardiomyopathy, dilated, 1s	1	1	1
C1832884	hemiplegic migraine, familial type 1	1	1	1
C3539123	ceroid lipofuscinosis, neuronal, 11	1	1	1
C3539120	prostate cancer, hereditary, 2	1	1	1
C1834737	soft tissue syndactyly of toes	1	1	2
C3809420	cortical dysplasia, complex, with other brain malformations 4	1	1	1
C3809394	dyschromatosis universalis hereditaria 3	1	1	1
C0266345	congenital urethral valve	1	1	1
C1956147	microlissencephaly	1	1	1
C3553870	seckel syndrome 7	1	1	1
C0008928	cleidocranial dysplasia	1	1	1
C3809645	basal ganglia calcification, idiopathic, 5	1	1	1
C4024810	chronic irritative conjunctivitis	1	1	1
C4025145	cortical irregularity	1	1	1
C4025631	hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	1	1	1
C3281138	chromosome 17q12 deletion syndrome	1	1	2
C1853566	genitopatellar syndrome	1	1	1
C1868594	perry syndrome	1	1	1
C1868595	parkinson disease 1, autosomal dominant (disorder)	1	1	1
C1868597	parietal foramina with cleidocranial dysplasia	1	1	1
C3150941	rubinstein-taybi syndrome 2	1	1	1
C3150943	long qt syndrome 2	1	1	1
C3665333	keratitis-ichthyosis-deafness syndrome	1	1	2
C1849453	rapadilino syndrome	1	1	1
C2750995	cardiomyopathy, dilated, 1dd	1	1	1
C1836706	hyperthyroidism, nonautoimmune	1	1	1
C1836255	preeclampsia eclampsia 4	1	1	1
C1836705	pseudohyperkalemia, familial, 2, due to red cell leak	1	1	1
C3808115	cataract 12, multiple types	1	1	1
C2750448	corneal dystrophy, fuchs endothelial, 6	1	1	1
C1837073	spondylometaphyseal dysplasia with cone-rod dystrophy	1	1	1
C0936215	vitamin b 6 deficiency	1	1	1
C1861366	syndactyly, type iii	1	1	1
C1861367	synpolydactyly 1	1	1	1
C1867904	long qt syndrome 5	1	1	1
C1969697	repetitive compulsive behavior	1	1	1
C4021645	recurrent abdominal hernia	1	1	1
C4021392	fibrous syngnathia	1	1	1
C4021648	fava bean-induced hemolytic anemia	1	1	1
C4021649	short fifth metatarsal	1	1	1
C1864843	combined oxidative phosphorylation deficiency 2	1	1	1
C1837610	ichthyosis prematurity syndrome	1	1	1
C3280777	ventricular septal defect 1	1	1	1
C4021028	pseudo-fractures	1	1	2
C4021025	synostosis of carpals/tarsals	1	1	1
C0917713	becker muscular dystrophy	1	1	1
C1855633	congenital palmoplantar keratosis	1	1	1
C3554018	sinoatrial node dysfunction and deafness	1	1	1
C1848916	tay-sachs disease, variant b1	1	1	1
C3151440	pituitary hormone deficiency, combined, 6	1	1	1
C2931743	lactate dehydrogenase deficiency type a	1	1	1
C2931746	sulfocysteinuria	1	1	1
C2931213	usher syndrome, type 2c	1	1	1
C0878682	ceruloplasmin deficiency	1	1	1
C0878684	short syndrome	1	1	1
C0085083	ovarian hyperstimulation syndrome	1	1	1
C1562113	fleck corneal dystrophy	1	1	1
C4015368	aortic aneurysm, familial thoracic 9	1	1	1
C4023721	abnormal hair pattern	1	1	1
C4023720	cystic lesions of the pinnae	1	1	1
C0271710	reactive hypoglycemia	1	1	2
C0751335	scapuloperoneal form of spinal muscular atrophy	1	1	1
C3809092	adams-oliver syndrome 4	1	1	1
C4023094	ectopic ossification in ligament tissue	1	1	1
C0020480	hyperlipoproteinemia type iv	1	1	3
C3810350	bone marrow failure syndrome 2	1	1	1
C3250443	myotonic dystrophy 1	1	1	1
C1853959	birdshot chorioretinopathy	1	1	1
C3809893	episodic pain syndrome, familial, 2	1	1	1
C0751489	adult sandhoff disease	1	1	1
C4014540	microphthalmia, syndromic 14	1	1	1
C4014545	tatton-brown-rahman syndrome	1	1	1
C0585274	periodic syndrome	1	1	1
C4024158	abnormality of the columella	1	1	1
C4025826	abnormality of the urethra	1	1	1
C4025822	abnormality of the parathyroid gland	1	1	1
C0950121	denys-drash syndrome	1	1	1
C0950122	frasier syndrome	1	1	1
C0339512	bull's eye macular dystrophy	1	1	1
C1832342	talipes cavus equinovarus	1	1	1
C0687150	parathyroid gland adenocarcinoma	1	1	1
C0410266	contracture of hamstring(s)	1	1	1
C4021253	undulate clavicles	1	1	1
C4021252	abnormality of the epiphysis of the femoral head	1	1	1
C3553719	amyotrophic lateral sclerosis 18	1	1	1
C3539920	ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive	1	1	1
C1836485	charcot-marie-tooth disease, axonal, type 2a2 (disorder)	1	1	1
C1866174	phosphoglycerate dehydrogenase deficiency	1	1	1
C1866176	exudative vitreoretinopathy 4 (disorder)	1	1	1
C4015495	cerebellofaciodental syndrome	1	1	1
C4020704	sertoli cell neoplasm	1	1	1
C4020705	glomerulocystic disease	1	1	1
C0265226	hecht syndrome (disorder)	1	1	1
C0432152	thoracic hemivertebra	1	1	1
C1860823	trichorhinophalangeal syndrome, type iii	1	1	1
C1860826	coxa magna	1	1	1
C0027613	neonatal hepatitis	1	1	2
C0342527	deficiency of testosterone biosynthesis	1	1	2
C1850451	ceroid lipofuscinosis, neuronal, 1	1	1	1
C1856441	late onset congenital glaucoma	1	1	1
C1856113	mowat-wilson syndrome	1	1	1
C1837915	erythrocytosis, familial, 2	1	1	1
C1621958	glioblastoma multiforme	1	1	1
C0796083	najjar syndrome	1	1	1
C2931001	congenital disorder of glycosylation type 1g	1	1	1
C0796081	growth mental deficiency syndrome of myhre	1	1	1
C2931004	congenital disorder of glycosylation type 1j	1	1	1
C0796085	nance-horan syndrome	1	1	1
C3279614	bleeding disorder, platelet-type, 13, susceptibility to	1	1	1
C1855796	hypoproteinemia, hypercatabolic	1	1	1
C1855794	bamforth syndrome	1	1	2
C1863599	hereditary myopathy with early respiratory failure	1	1	1
C1863844	adult-onset citrullinemia type 2	1	1	1
C1857242	rhizomelic chondrodysplasia punctata, type 2	1	1	1
C3280402	sclerosteosis 2	1	1	1
C1855861	glycogen storage disease 0, liver	1	1	1
C1859372	calcification of joints and arteries	1	1	1
C3810012	rienhoff syndrome	1	1	1
C1837750	oligodontia-colorectal cancer syndrome	1	1	1
C1853892	dimethylglycine dehydrogenase deficiency	1	1	1
C1963674	spinocerebellar ataxia 10	1	1	1
C1833213	hyperferritinemia, hereditary, with congenital cataracts	1	1	1
C0432243	spondyloepimetaphyseal dysplasia with joint laxity	1	1	1
C0266368	congenital absence of ovary	1	1	1
C1956125	alagille syndrome 1	1	1	1
C2676191	pituitary adenoma, familial isolated (disorder)	1	1	1
C3809665	neurodegeneration with optic atrophy, childhood-onset	1	1	1
C4023288	short chordae tendineae of the mitral valve	1	1	1
C4225156	mental retardation, autosomal dominant 34	1	1	1
C0751670	machado-joseph disease type iii	1	1	1
C0039483	giant cell arteritis	1	1	1
C1842237	charcot-marie-tooth disease, dominant intermediate c	1	1	1
C0403557	glomerulopathy with giant fibrillar deposits	1	1	1
C0403554	renal tubular acidosis, distal, with progressive nerve deafness	1	1	1
C2750467	cardiomyopathy, familial hypertrophic, 14	1	1	1
C2750466	cardiomyopathy, dilated, 1ee	1	1	1
C0236788	bipolar ii disorder	1	1	1
C1861348	syndactyly, type v	1	1	1
C4021622	2-4 toe cutaneous syndactyly	1	1	1
C0018425	gyrate atrophy	1	1	1
C0042781	visceral myopathy	1	1	1
C0334582	fibrillary astrocytoma	1	1	1
C2751805	emery-dreifuss muscular dystrophy 5, autosomal dominant	1	1	1
C0334580	protoplasmic astrocytoma	1	1	1
C0334581	gemistocytic astrocytoma	1	1	1
C2751803	herpes simplex encephalitis, susceptibility to, 2	1	1	1
C3280798	cutis laxa, autosomal recessive, type ib	1	1	1
C3280799	cutis laxa, autosomal recessive, type iiib	1	1	1
C0086648	mps iii b	1	1	1
C0086647	mucopolysaccharidosis type iiia	1	1	1
C2931588	gemss syndrome	1	1	1
C2931585	gaucher-like disease	1	1	1
C0221290	chondromyxoid fibroma	1	1	1
C1855305	ter haar syndrome	1	1	1
C1834235	neurofibromatosis, familial spinal	1	1	1
C1834236	spinal nerve root neurofibromas, symmetric, multiple	1	1	1
C1859148	chondrodysplasia, blomstrand type	1	1	1
C1833245	retinitis pigmentosa 17	1	1	1
C3550973	neurodegeneration with brain iron accumulation 5	1	1	1
C4015686	lethal congenital contracture syndrome 6	1	1	1
C2931767	deafness, autosomal dominant nonsyndromic sensorineural 22	1	1	1
C3279840	methylmalonate semialdehyde dehydrogenase deficiency	1	1	1
C3279841	pyruvate dehydrogenase e1-beta deficiency	1	1	1
C1834582	myeloproliferative syndrome, transient	1	1	1
C2936915	amylo-1,6-glucosidase deficiency	1	1	1
C1455728	acute fatty liver of pregnancy	1	1	1
C1858763	cardiomyopathy, dilated, 1g	1	1	1
C0341047	hypertrophy of parotid gland	1	1	1
C0268595	glutaric aciduria, type 1	1	1	1
C3810376	premature ovarian failure 9	1	1	1
C3809875	van maldergem syndrome 2	1	1	1
C3809877	schaaf-yang syndrome	1	1	1
C0023806	lipomucopolysaccharidosis	1	1	1
C1859817	2-aminoadipic 2-oxoadipic aciduria	1	1	1
C1846431	smith-mccort dysplasia	1	1	2
C2677109	leukodystrophy, hypomyelinating, 4	1	1	1
C4014528	mental retardation, autosomal dominant 27	1	1	1
C4082171	hyperammonemia due to carbamoyl phosphate synthetase 1 deficiency	1	1	1
C1852551	epithelial recurrent erosion dystrophy	1	1	1
C4025849	abnormality of the fovea	1	1	4
C3554316	epileptic encephalopathy, early infantile, 15	1	1	1
C1970757	tooth agenesis, selective, x-linked, 1	1	1	1
C1842398	neutrophil immunodeficiency syndrome	1	1	1
C1845167	dent disease 2	1	1	1
C1845168	hypophosphatemic rickets, x-linked recessive	1	1	1
C1148551	x-linked dyskeratosis congenita	1	1	1
C4025261	aplasia/hypoplasia of the capital femoral epiphysis	1	1	1
C1847197	vascular malformation, primary intraosseous	1	1	1
C0346390	hemangioma of choroid	1	1	1
C0013481	ebstein anomaly	1	1	1
C0342728	3-methylglutaconic aciduria type 1	1	1	1
C0342895	fish-eye disease	1	1	1
C1275114	epidermolysis bullosa pruriginosa	1	1	1
C0085859	polyglandular type i autoimmune syndrome	1	1	1
C1865832	spondyloepimetaphyseal dysplasia, missouri type	1	1	1
C3553999	peroxisome biogenesis disorder 10a (zellweger)	1	1	1
C1858154	cardiomyopathy, dilated, 1i	1	1	1
C3715192	andibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome	1	1	1
C3715199	renal-hepatic-pancreatic dysplasia 1	1	1	1
C2678485	long qt syndrome 9 (disorder)	1	1	1
C1847627	dyskinesia, familial, with facial myokymia	1	1	1
C0268296	17-hydroxysteroid dehydrogenase deficiency	1	1	1
C2675192	spherocytosis, type 5	1	1	1
C1849700	hyperphenylalaninemia with primapterinuria	1	1	1
C1838263	deafness, autosomal recessive 3	1	1	1
C0268120	adenine phosphoribosyltransferase deficiency	1	1	1
C0271695	rabson-mendenhall syndrome	1	1	1
C0268126	adenylosuccinate lyase deficiency (disorder)	1	1	1
C0268125	purine-nucleoside phosphorylase deficiency	1	1	1
C4014738	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	1	1	1
C1562894	thiel-behnke corneal dystrophy	1	1	1
C1855849	bartter syndrome, antenatal , type 2	1	1	1
C1855840	hypoparathyroidism-retardation-dysmorphism syndrome	1	1	1
C3151236	myopathy, myofibrillar, fatal infantile hypertonic, alpha-b crystallin-related	1	1	1
C3151237	hirschsprung disease, cardiac defects, and autonomic dysfunction	1	1	1
C0546817	fluid overload	1	1	2
C1839130	dystonia 3, torsion, x-linked	1	1	1
C2676466	pontocerebellar hypoplasia type 2b	1	1	1
C2676465	pontocerebellar hypoplasia type 2c	1	1	1
C3809469	inclusion body myopathy with early-onset paget disease with or without frontotemporal dementia 3	1	1	1
C3809468	inclusion body myopathy with early-onset paget disease with or without frontotemporal dementia 2	1	1	1
C4015029	charcot-marie-tooth disease, recessive intermediate d	1	1	1
C4023119	mesenteric artery aneurysm	1	1	1
C4024729	distal tapering of metatarsals	1	1	1
C4014993	focal segmental glomerulosclerosis 8	1	1	1
C3809686	mental retardation, autosomal dominant 21	1	1	1
C0152426	craniorachischisis	1	1	1
C1864436	muenke syndrome	1	1	1
C4024851	punctate palmoplantar hyperkeratosis	1	1	1
C1864869	night blindness, congenital stationary, autosomal dominant 1	1	1	1
C4275075	atypical werner syndrome	1	1	1
C4025676	abnormality of the knee	1	1	4
C4025674	flared femoral metaphysis	1	1	1
C4025671	sudden episodic apnea	1	1	2
C1853214	retinitis pigmentosa 35	1	1	1
C1861821	cataract, marner type	1	1	2
C3150989	muscular dystrophy, limb-girdle, type 2q	1	1	1
C3150983	treacher collins syndrome 2	1	1	1
C3150987	epileptic encephalopathy, early infantile, 11	1	1	1
C3472711	spinocerebellar ataxia 36	1	1	1
C1842704	gaucher disease, perinatal lethal	1	1	1
C2750481	factor xiii, b subunit, deficiency of	1	1	1
C4025189	metopic suture patent to nasal root	1	1	1
C3888002	pulmonary hypertension, primary, 2	1	1	1
C4025182	exercise-induced hemolysis	1	1	1
C4025184	spontaneous hemolytic crises	1	1	1
C0936256	lysine alpha-ketoglutarate reductase deficiency disease	1	1	1
C3280220	charcot-marie-tooth disease, axonal, type 2o	1	1	1
C1969651	macular degeneration, age-related, 9	1	1	1
C4021607	proximal symphalangism of hands	1	1	2
C2751532	3-hydroxy-3-methylglutaryl-coa synthase 2 deficiency	1	1	1
C2751826	multiple synostoses syndrome 3	1	1	1
C2751536	cerebral amyloid angiopathy, app-related	1	1	1
C2751825	premature ovarian failure 7 (disorder)	1	1	1
C1866095	deafness, autosomal dominant 13	1	1	1
C0398621	hypoplasminogenemia	1	1	1
C4020911	herpetiform corneal ulceration	1	1	1
C0395905	postauricular fistula	1	1	1
C3469521	fanconi anemia, complementation group a (disorder)	1	1	1
C1833486	microtia-anotia	1	1	1
C1504412	testotoxicosis	1	1	1
C4225247	leukodystrophy, hypomyelinating, 12	1	1	1
C3553529	combined oxidative phosphorylation deficiency 10	1	1	1
C0023138	laurence-moon syndrome	1	1	1
C4023931	cone-shaped epiphyses of the proximal phalanges of the hand	1	1	1
C0268355	cutis laxa, autosomal recessive, type iia	1	1	1
